"Claim text","Route","Evidence found","Verification status","Recommended action"
"Skyline Hub","/portfolio/skyline-hub/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"RK Reno completed project: Skyline Hub","/portfolio/skyline-hub/","Repeated Ivey/Vastcon/Vincent/Alten demo copy; no Malaysian project evidence.","IMPORTED_DEMO_CONTENT","Do not present as RK Reno work; proposed 410 unless owner disproves demo finding."
"Vincent Pham","/portfolio/the-ivey-school-of-business/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/portfolio/the-ivey-school-of-business/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"RK Reno completed project: The Ivey School of Business","/portfolio/the-ivey-school-of-business/","Repeated Ivey/Vastcon/Vincent/Alten demo copy; no Malaysian project evidence.","IMPORTED_DEMO_CONTENT","Do not present as RK Reno work; proposed 410 unless owner disproves demo finding."
"Vincent Pham","/portfolio/transforming-designs-into-reality/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/portfolio/transforming-designs-into-reality/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"RK Reno completed project: Transforming Designs Into Reality","/portfolio/transforming-designs-into-reality/","Repeated Ivey/Vastcon/Vincent/Alten demo copy; no Malaysian project evidence.","IMPORTED_DEMO_CONTENT","Do not present as RK Reno work; proposed 410 unless owner disproves demo finding."
"1000+ customers","/pricing-plan/","Production-derived content plus imported-demo indicators: Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"warranty","/pricing-plan/","Production-derived content plus imported-demo indicators: Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Warranty","/pu-injection-waterproofing-kl-how-to-fix-wall-cracks-permanently/","Present in production-derived content; no owner evidence was supplied.","OWNER_CONFIRMATION_REQUIRED","Do not publish until the owner supplies documentary or first-party support."
"guaranteed","/servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/","Present in production-derived content; no owner evidence was supplied.","OWNER_CONFIRMATION_REQUIRED","Do not publish until the owner supplies documentary or first-party support."
"warranty","/servis-aircond-murah-kl/","Present in production-derived content; no owner evidence was supplied. Removed from the native Batch 1 output. Removed from the native Batch 1 output.","REMOVED_FROM_BATCH_1_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"100% Satisfaction Guarantee","/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","Present in production-derived content; no owner evidence was supplied.","OWNER_CONFIRMATION_REQUIRED","Do not publish until the owner supplies documentary or first-party support."
"2000+ Rumah Dicuci","/servis-cuci-rumah-kl/","Present in production-derived content; no owner evidence was supplied.","OWNER_CONFIRMATION_REQUIRED","Do not publish until the owner supplies documentary or first-party support."
"4.9/5 Google Rating","/servis-cuci-rumah-kl/","Present in production-derived content; no owner evidence was supplied.","OWNER_CONFIRMATION_REQUIRED","Do not publish until the owner supplies documentary or first-party support."
"30 years of experience","/team-detail/","Production-derived content plus imported-demo indicators: Vastcon, PCL/EllisDon demo","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Deron Brown","/team-detail/","Production-derived content plus imported-demo indicators: Vastcon, PCL/EllisDon demo","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Vincent Pham","/testimonials/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Alten/ECOM demo","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Warranty","/waterproofing-contractor-kuala-lumpur-the-complete-guide-to-stopping-leaks-2026/","Present in production-derived content; no owner evidence was supplied. Removed from native Batch 2 output.","REMOVED_FROM_BATCH_2_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"5000+ Leaks Fixed","/waterproofing-contractor-kuala-lumpur/","Present in production-derived content; no owner evidence was supplied. Removed from native Batch 2 output.","REMOVED_FROM_BATCH_2_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"4.9/5 Service Rating","/waterproofing-contractor-kuala-lumpur/","Present in production-derived content; no owner evidence was supplied. Removed from native Batch 2 output.","REMOVED_FROM_BATCH_2_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"Warranty","/waterproofing-contractor-kuala-lumpur/","Present in production-derived content; no owner evidence was supplied. Removed from native Batch 2 output.","REMOVED_FROM_BATCH_2_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"Sarah T.","/waterproofing-contractor-kuala-lumpur/","Present in production-derived content; no owner evidence was supplied. Removed from native Batch 2 output.","REMOVED_FROM_BATCH_2_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
